COUNTRY,flows,short,ISO Code
AFGHANISTAN,"{'0': 144098.0, '8': -9.0, '11': -60879.0, '12': -47602.0, '13': -176.0, '15': -860.0, '18': -277.0, '19': -24670.0, '24': -1.0, '28': -73.0, '30': -426.0, '35': -55954.0, '37': 0, '48': -4.0, '53': -6.0, '54': -484.0, '56': -13715.0, '60': -167.0, '61': -210.0, '65': -65.0, '71': -7019.0, '72': -35348.0, '77': -40.0, '78': -250444.0, '81': -45293.0, '87': -1.0, '92': -1816.0, '93': -108.0, '94': -16094.0, '96': -2710601.0, '97': -314.0, '98': -168.0, '100': -2464.0, '101': -18689.0, '104': -61.0, '108': -2896.0, '111': -46.0, '115': -340.0, '116': -6.0, '117': -41.0, '118': -433.0, '121': -2478.0, '123': -553.0, '139': -44.0, '142': -36418.0, '144': -3827.0, '145': -62.0, '151': -17242.0, '153': -1598223.0, '160': -1297.0, '161': -184.0, '164': -1599.0, '166': -44.0, '167': -5090.0, '179': -481215.0, '186': -194.0, '187': -36.0, '190': -111.0, '192': -615.0, '193': -132.0, '196': -53306.0, '197': -15036.0, '198': -1143.0, '199': -12433.0, '201': -1.0, '208': -117595.0, '209': -198.0, '213': -4891.0, '214': -8191.0, '215': -51376.0, '216': -142504.0}",AFGHANISTAN,AF
ALBANIA,"{'1': 48810.0, '8': -66.0, '11': -3941.0, '12': -4398.0, '19': -11937.0, '24': -1.0, '30': -1351.0, '35': -16544.0, '37': 0, '48': -4.0, '50': -160.0, '51': 0.0, '53': -274.0, '54': -487.0, '56': -568.0, '60': -73.0, '61': -119.0, '65': -41.0, '71': -706.0, '72': -8925.0, '77': -9.0, '78': -61063.0, '81': -446614.0, '87': -9.0, '92': -503.0, '93': -220.0, '98': -340.0, '101': -486187.0, '111': -12.0, '115': -320.0, '116': -2.0, '117': -28.0, '118': -1058.0, '123': -1482.0, '124': -229.0, '134': -2763.0, '142': -2402.0, '149': -68113.0, '151': -2174.0, '160': -122.0, '161': -165.0, '162': -55.0, '166': -823.0, '167': -232.0, '177': -39.0, '181': -475.0, '186': -133.0, '187': -146.0, '190': -195.0, '192': -2615.0, '196': -5724.0, '197': -4323.0, '208': -4554.0, '215': -10458.0, '216': -97252.0, '222': -17.0}",ALBANIA,AL
ALGERIA,"{'2': 250378.0, '8': -103.0, '11': -1776.0, '12': -1581.0, '18': -51.0, '19': -27491.0, '24': -3.0, '28': -232.0, '30': -460.0, '35': -69587.0, '37': -263, '48': -14.0, '50': -50.0, '51': -8.0, '53': -34.0, '54': -805.0, '56': -1004.0, '60': -50.0, '61': -889.0, '65': -32.0, '71': -1014.0, '72': -1637211.0, '73': -403.0, '74': -681.0, '75': -108.0, '77': -16.0, '78': -25819.0, '79': -13.0, '81': -407.0, '84': -142.0, '87': -6766.0, '92': -929.0, '93': -68.0, '98': -673.0, '100': -44358.0, '101': -22363.0, '104': -345.0, '111': -18.0, '115': -3830.0, '116': -6.0, '117': -11.0, '118': -1113.0, '123': -553.0, '124': -155.0, '126': -1788.0, '129': -110.0, '136': -14497.0, '139': -505.0, '142': -4219.0, '143': -621.0, '145': -117.0, '146': -587.0, '151': -1283.0, '159': -33.0, '160': -490.0, '161': -766.0, '162': -261.0, '166': -554.0, '167': -776.0, '180': -4338.0, '181': -52.0, '186': -125.0, '187': -40.0, '190': -537.0, '192': -61611.0, '196': -3451.0, '197': -10136.0, '199': -128.0, '207': -11060.0, '208': -887.0, '212': 0.0, '215': -23380.0, '216': -28531.0, '222': -89.0}",ALGERIA,DZ
AMERICAN SAMOA,"{'3': 23608.0, '11': 0.0, '37': 0, '72': 0.0, '81': 0.0, '123': -462.0, '167': -41.0, '176': -1307.0}",AMERICAN SAMOA,AS
ANDORRA,"{'4': 45574.0, '8': -1.0, '11': -30.0, '12': -3.0, '19': -42.0, '24': 0.0, '28': -13.0, '30': 0.0, '37': 0, '54': 0.0, '56': -5.0, '65': -1.0, '71': -2.0, '72': -1120.0, '81': -1.0, '87': -4.0, '92': 0.0, '93': -2.0, '98': -1.0, '101': -44.0, '111': 0.0, '116': 0.0, '118': -38.0, '123': -1204.0, '142': -27.0, '151': -12.0, '162': -425.0, '166': -17.0, '186': 0.0, '192': -7964.0, '196': -4.0, '197': -119.0, '215': -53.0}",ANDORRA,AD
ANGOLA,"{'5': 656434.0, '8': -9.0, '11': -602.0, '12': -436.0, '19': -7095.0, '24': -6.0, '27': -779.0, '28': -8184.0, '30': -15.0, '34': -2976.0, '35': -3358.0, '36': -390.0, '37': -30, '46': -40969.0, '48': -3.0, '51': -30.0, '54': -161.0, '55': -177028.0, '56': -169.0, '60': -43.0, '61': -28.0, '64': -301.0, '65': -3.0, '66': -133.0, '71': -441.0, '72': -24350.0, '75': -1111.0, '78': -1338.0, '81': -11.0, '87': -109.0, '92': -116.0, '93': -50.0, '98': -548.0, '101': -1917.0, '111': 0.0, '116': -7.0, '117': -2.0, '118': -1061.0, '123': -1807.0, '129': -57.0, '137': -39092.0, '139': -40105.0, '142': -4957.0, '151': -496.0, '159': -26.0, '160': -79.0, '161': -72.0, '162': -179524.0, '166': -98.0, '167': -509.0, '178': -319.0, '186': -25.0, '187': -2.0, '190': -47945.0, '192': -4795.0, '196': -812.0, '197': -6936.0, '200': -1115.0, '215': -13471.0, '216': -20445.0, '222': -176.0, '226': -31424.0}",ANGOLA,AO
ANGUILLA,"{'6': 5715.0, '7': -39.0, '25': 0.0, '30': -30.0, '35': -68.0, '37': -1515, '52': -47.0, '58': -18.0, '59': -34.0, '72': -9.0, '81': -8.0, '98': 0.0, '111': 0.0, '142': -18.0, '166': -3.0, '167': -47.0, '172': -3.0, '215': -807.0, '217': -971.0}",ANGUILLA,AI
ANTIGUA AND BARBUDA,"{'7': 29386.0, '11': -63.0, '12': -8.0, '14': -13.0, '17': -194.0, '19': -1.0, '24': 0.0, '25': 0.0, '30': -4.0, '35': -2486.0, '37': -7801, '52': -62.0, '54': 0.0, '56': -3.0, '58': -451.0, '59': -186.0, '61': -15.0, '65': -7.0, '71': -1.0, '72': -67.0, '81': -29.0, '83': -39.0, '87': -4276.0, '89': -9.0, '92': 0.0, '93': 0.0, '98': -1.0, '101': -22.0, '102': -154.0, '111': 0.0, '118': -2.0, '135': -116.0, '139': -490.0, '142': -35.0, '145': -123.0, '151': -4.0, '166': 0.0, '171': -417.0, '172': -85.0, '175': -56.0, '196': -5.0, '197': -67.0, '215': -5005.0, '216': -46037.0, '217': -4588.0}",ANTIGUA AND BARBUDA,AG
ARGENTINA,"{'4': -734.0, '8': 2281728.0, '11': -17900.0, '12': -1698.0, '14': -117.0, '18': -99.0, '19': -2587.0, '24': -47601.0, '25': 0.0, '28': -36910.0, '30': -127.0, '35': -20921.0, '36': -3.0, '37': -2588, '38': -12.0, '42': -79253.0, '44': -5719.0, '48': -1761.0, '50': -186.0, '51': -35.0, '52': -24.0, '53': -81.0, '54': -366.0, '56': -2361.0, '59': -1116.0, '60': -5645.0, '61': -251.0, '62': -218.0, '65': -54.0, '69': -31.0, '71': -460.0, '72': -14807.0, '77': -14.0, '78': -20566.0, '81': -652.0, '86': -595.0, '87': -105.0, '90': -456.0, '91': -194.0, '92': -432.0, '93': -83.0, '98': -374.0, '100': -38204.0, '101': -72321.0, '103': -3629.0, '111': -22.0, '116': -24.0, '117': -65.0, '118': -407.0, '124': -28.0, '126': -71.0, '129': -16688.0, '139': -50.0, '142': -4371.0, '144': -4136.0, '145': -281.0, '151': -1246.0, '156': -3062.0, '158': -61833.0, '159': -26854.0, '160': -155.0, '161': -357.0, '162': -1512.0, '163': -828.0, '166': -337.0, '167': -250.0, '177': -90.0, '181': -48.0, '186': -90.0, '187': -435.0, '190': -2854.0, '192': -284921.0, '196': -3503.0, '197': -9509.0, '208': -190.0, '215': -11385.0, '216': -219448.0, '218': -33022.0, '222': -9374.0}",ARGENTINA,AR
ARMENIA,"{'8': -565.0, '9': 190349.0, '11': -1658.0, '12': -3433.0, '13': -141756.0, '18': -5643.0, '19': -1834.0, '24': -5.0, '28': -65.0, '30': -1802.0, '35': -4484.0, '37': 0, '48': -8.0, '53': -1166.0, '54': -2096.0, '56': -733.0, '60': -38.0, '61': -160.0, '65': -746.0, '71': -115.0, '72': -21830.0, '77': -12789.0, '78': -25512.0, '81': -14571.0, '87': -7.0, '92': -225.0, '93': -10.0, '96': -989.0, '98': -59.0, '101': -1847.0, '104': -25.0, '105': -9622.0, '109': -2315.0, '111': -708.0, '115': -270.0, '116': -9.0, '117': -427.0, '118': -120.0, '124': -81.0, '129': -108.0, '139': -64.0, '142': -952.0, '151': -333.0, '160': -143.0, '161': -2775.0, '162': -112.0, '166': -163.0, '167': -526997.0, '181': -159.0, '186': -169.0, '187': -17.0, '192': -12845.0, '196': -3233.0, '197': -1133.0, '199': -193.0, '208': -1090.0, '209': -7058.0, '213': -48097.0, '215': -1477.0, '216': -87494.0, '219': -5824.0, '222': -31.0}",ARMENIA,AM
