Country Name,Country Code,GDP_2017,GDP_2018,GDP_2019,GDP_2020
Afghanistan,AFG,18753469630.26,18053228578.89,18799450742.78,20116137325.82
Albania,ALB,13019689336.69,15156432309.90,15400242874.88,14887629268.29
Algeria,DZA,170097014589.13,174910878623.05,171767403748.19,145009181490.62
American Samoa,ASM,612000000.00,639000000.00,648000000.00,709000000.00
Andorra,AND,3000180750.11,3218316013.23,3155065487.52,..
Angola,AGO,122123822333.59,101353230784.59,89417190341.25,58375976292.97
Antigua and Barbuda,ATG,1467977777.78,1605944444.44,1687533333.33,1370281481.48
Argentina,ARG,643628665302.16,524819742918.67,451932356085.84,389288056265.33
Armenia,ARM,11527458565.73,12457941907.03,13619291361.28,12641209802.11
Aruba,ABW,3092430167.60,3202188606.93,..,..
Australia,AUS,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51
Austria,AUT,416230497429.16,454945881027.38,445011872704.47,433258467676.52
Azerbaijan,AZE,40865558912.39,47112941176.47,48174235294.12,42607176470.59
"Bahamas, The",BHS,12359700000.00,12837800000.00,13164400000.00,9907500000.00
Bahrain,BHR,35473776595.74,37801462765.96,38652579787.23,34729228723.40
Bangladesh,BGD,249710922462.31,274038973437.28,302571320445.75,323056957972.31
Barbados,BRB,4978000000.00,5086500000.00,5209000000.00,4418000000.00
Belarus,BLR,54726595249.18,60031262269.34,64409647193.80,60258239055.58
Belgium,BEL,501522868356.44,543008499294.08,535288715240.00,521861292586.62
Belize,BLZ,1858529676.72,1915899786.96,1982518540.61,1636280797.08
Benin,BEN,12701654743.21,14262407011.53,14391686632.78,15651545331.54
Bermuda,BMU,7142316000.00,7224329000.00,7484113000.00,6842700000.00
Bhutan,BTN,2450364928.07,2446866404.93,2535657068.97,2315437338.09
Bolivia,BOL,37508642165.34,40287647930.48,40895322843.79,36572764862.82
Bosnia and Herzegovina,BIH,18079075770.67,20177409351.43,20201323260.07,19946496562.97
Botswana,BWA,16088437675.16,16914245098.04,16593720655.64,15061922801.63
Brazil,BRA,2063514688761.98,1916933708381.89,1877824273720.78,1444733258971.65
British Virgin Islands,VGB,..,..,..,..
Brunei Darussalam,BRN,12128104859.15,13567351175.03,13469422958.51,12005825769.51
Bulgaria,BGR,59199447421.49,66363422450.21,68915416141.96,69889347433.43
Burkina Faso,BFA,14106956830.09,15890065019.76,16178162030.07,17933606353.18
Burundi,BDI,2748180473.71,2668495742.88,2631434363.23,2841786382.19
Cabo Verde,CPV,1768319144.00,1966503222.77,1981845740.71,1703698676.70
Cambodia,KHM,22177200511.58,24571753583.49,27089389786.98,25808561550.95
Cameroon,CMR,36098550141.59,39973839064.61,39670977332.73,40804449726.02
Canada,CAN,1649265644244.09,1725329192783.02,1742015045482.31,1645423407568.36
Cayman Islands,CYM,5166467298.69,5522625585.02,5935769350.77,5591623664.95
Central African Republic,CAF,2072349794.23,2220978978.17,2220307368.70,2380087758.04
Chad,TCD,10000395242.15,11239167048.49,11314951342.78,10829076801.73
Channel Islands,CHI,..,..,..,..
Chile,CHL,277034675515.68,297571693064.19,279385487344.49,252940023046.01
China,CHN,12310409370894.20,13894817549380.30,14279937467431.00,14722730697890.10
Colombia,COL,311883730690.13,334198214706.21,323429888934.26,271437596293.84
Comoros,COM,1077439662.58,1188797574.95,1192559739.37,1235400352.29
"Congo, Dem. Rep.",COD,38019265625.88,47146004586.68,50400747050.50,48716960860.07
"Congo, Rep.",COG,11090177747.13,13670036996.00,12750339022.95,10187122341.41
Costa Rica,CRI,60516043590.19,62420165099.73,64072870931.60,61846895120.78
Cote d'Ivoire,CIV,51588158717.53,58011466450.86,58539424929.72,61348579465.10
Croatia,HRV,56214427431.20,62247874948.82,62246206340.55,57203783203.03
Cuba,CUB,96851000000.00,100050000000.00,103428000000.00,107352000000.00
Curacao,CUW,3116610111.73,3127908044.69,3101787709.50,2595821708.81
Cyprus,CYP,22870833709.90,25522671232.88,25758357774.54,24612646487.72
Czech Republic,CZE,218628940951.68,248950103352.14,252498032247.16,245339322066.76
Denmark,DNK,332121063806.39,356841216410.07,347561349210.98,356084867685.64
Djibouti,DJI,2751445573.68,3012803457.10,3324615549.09,3384385216.72
Dominica,DMA,519837037.04,550622222.22,611537037.04,504214814.81
Dominican Republic,DOM,79997975621.87,85555378042.82,88941299733.50,78844702329.08
Ecuador,ECU,104295862000.00,107562008000.00,108108009000.00,98808010000.00
"Egypt, Arab Rep.",EGY,235733695652.17,249712999437.25,303080865603.65,365252651278.85
El Salvador,SLV,24979190000.00,26020850000.00,26896660000.00,24638720000.00
Equatorial Guinea,GNQ,12200913887.64,13097012189.40,11417278044.99,10021856754.49
Eritrea,ERI,..,..,..,..
Estonia,EST,26857880621.94,30474612057.45,31045591753.49,30650285471.72
Eswatini,SWZ,4402969225.92,4665420238.52,4495679480.97,3972728948.47
Ethiopia,ETH,81770791970.98,84269348327.35,95912590628.14,107645054311.88
Faroe Islands,FRO,2899226097.62,3051341335.95,3126293219.78,..
Fiji,FJI,5353404422.08,5581371847.62,5496264766.37,4533883782.27
Finland,FIN,255016517537.98,275580448365.24,268508200125.49,269594831987.55
France,FRA,2588740901639.81,2789593979064.58,2728870246705.88,2630317731455.26
French Polynesia,PYF,..,..,..,..
Gabon,GAB,14929488770.73,16867325126.54,16874405839.79,15316826191.57
"Gambia, The",GMB,1504909753.29,1670670668.59,1812529104.62,1868086274.82
Georgia,GEO,16242916915.72,17599700090.76,17477255562.26,15846489610.81
Germany,DEU,3681732583768.50,3975347237442.99,3888326788627.44,3846413928653.71
Ghana,GHA,60406382898.52,67299280679.56,68337537815.77,68532281805.67
Gibraltar,GIB,..,..,..,..
Greece,GRC,199350781053.19,211945897765.43,205144152830.85,188835201625.91
Greenland,GRL,2851610655.92,3040414278.02,2982247278.62,..
Grenada,GRD,1125685185.19,1166523555.56,1212694407.41,1042100555.56
Guam,GUM,6013000000.00,6060000000.00,6364000000.00,5844000000.00
Guatemala,GTM,71654134378.53,73208583758.91,77020015201.32,77604632170.59
Guinea,GIN,10324668266.59,11857030336.53,13513809258.21,15681050917.16
Guinea-Bissau,GNB,1350177127.55,1504630120.99,1439638443.38,1431758242.90
Guyana,GUY,4748174334.14,4787636237.24,5173760191.85,5471256594.72
Haiti,HTI,15035560372.64,16455034352.77,14785839382.90,14508218017.40
Honduras,HND,22975415842.46,23900438563.73,24915522849.15,23662231633.91
"Hong Kong SAR, China",HKG,341244161576.76,361691522612.75,363016373358.52,346585881503.64
Hungary,HUN,143136245596.99,160586833778.46,163526491433.29,155808436238.49
Iceland,ISL,24728285177.46,26267063757.55,24857740445.04,21718075725.21
India,IND,2651472946374.91,2701111782775.03,2870504096717.77,2660245248867.63
Indonesia,IDN,1015618742565.81,1042271531011.99,1119091259074.62,1058423838345.14
"Iran, Islamic Rep.",IRN,445345256459.11,294356680624.66,258245497664.39,203471303952.34
Iraq,IRQ,187217660050.68,227367469034.03,235097182233.50,166756984395.97
Ireland,IRL,334602299873.03,384853685231.02,399122063504.15,425888950992.00
Isle of Man,IMN,6979581724.58,7491969312.88,7315388052.08,..
Israel,ISR,355277223507.49,373641241440.79,397934596952.56,407100736594.06
Italy,ITA,1956950469673.29,2090910879119.33,2009383867307.45,1888709443687.48
Jamaica,JAM,14808989993.32,15730793852.79,15830768549.89,13812425036.59
